 ID     OWNER          SUBMITTED   RUN_TIME     ST COMPLETED   CMD            
145795.84  hrmoncadalopez 10/2  18:18   0+00:11:30 C  10/2  20:21 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.83  hrmoncadalopez 10/2  18:18   0+00:13:36 C  10/2  20:09 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.81  hrmoncadalopez 10/2  18:18   0+00:13:32 C  10/2  20:09 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.82  hrmoncadalopez 10/2  18:18   0+00:13:29 C  10/2  20:09 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.80  hrmoncadalopez 10/2  18:18   0+00:13:26 C  10/2  20:09 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.79  hrmoncadalopez 10/2  18:18   0+00:13:24 C  10/2  20:09 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.78  hrmoncadalopez 10/2  18:18   0+00:13:19 C  10/2  20:09 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.77  hrmoncadalopez 10/2  18:18   0+00:13:26 C  10/2  20:08 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.76  hrmoncadalopez 10/2  18:18   0+00:13:28 C  10/2  20:08 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.75  hrmoncadalopez 10/2  18:18   0+00:13:21 C  10/2  20:08 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.73  hrmoncadalopez 10/2  18:18   0+00:13:25 C  10/2  20:07 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.67  hrmoncadalopez 10/2  18:18   0+00:13:27 C  10/2  20:07 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.70  hrmoncadalopez 10/2  18:18   0+00:13:22 C  10/2  20:07 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.69  hrmoncadalopez 10/2  18:18   0+00:13:29 C  10/2  19:56 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.74  hrmoncadalopez 10/2  18:18   0+00:13:29 C  10/2  19:56 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.72  hrmoncadalopez 10/2  18:18   0+00:13:29 C  10/2  19:56 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.66  hrmoncadalopez 10/2  18:18   0+00:13:28 C  10/2  19:56 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.60  hrmoncadalopez 10/2  18:18   0+00:13:27 C  10/2  19:56 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.71  hrmoncadalopez 10/2  18:18   0+00:13:25 C  10/2  19:56 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.62  hrmoncadalopez 10/2  18:18   0+00:13:32 C  10/2  19:55 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.64  hrmoncadalopez 10/2  18:18   0+00:13:24 C  10/2  19:55 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.68  hrmoncadalopez 10/2  18:18   0+00:13:22 C  10/2  19:55 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
145795.63  hrmoncadalopez 10/2  18:18   0+00:13:26 C  10/2  19:54 /applications/ncbi-blast-2.2.31+/bin/blastp -db /applications/blastDBs/uniref50 -query /export/home/hrmoncada
